,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,x_kpca_rbf,y_kpca_rbf,x_kpca_poly,y_kpca_poly,x_kpca_cos,y_kpca_cos
0,Retail,Other,12669,9656,7561,214,2674,1338,0.052873678513906085,-0.09570202833393905,0.0783737058955521,-0.1731146036428405,0.5047893015158403,0.009622306647377486
1,Retail,Other,7057,9810,9568,1762,3293,1776,0.12964618401642963,-0.16045812129786963,0.18581254641290845,-0.30741471406459697,0.8899412223120095,-0.26283294632794424
2,Retail,Other,6353,8808,7684,2405,3516,7844,0.21020537269667083,0.04844604646265678,0.34170153813262316,0.07504775170557658,0.4739940541267175,0.2356868332458663
3,HoReCa,Other,13265,1196,4221,6404,507,1788,-0.21624322605827742,0.10516496683103857,-0.25330352365834563,0.2503524263190757,-0.6186114271241638,0.37013054428028225
4,Retail,Other,22615,5410,7198,3915,1777,5185,-0.011687374284495105,0.26543162695756484,0.13661671368898717,0.3752792354602764,0.06889953794312631,0.8618293827365124
5,Retail,Other,9413,8259,5126,666,1795,1451,-0.036466297361146295,-0.13284548868140938,-0.088953304338434,-0.21226471169213568,0.10295629527946527,-0.33045648010926554
6,Retail,Other,12126,3199,6975,480,3140,545,-0.0697155932203247,-0.11732621082881504,-0.14353041259380808,-0.16630589319905761,-0.0921679624177764,-0.28989192765361294
7,Retail,Other,7579,4956,9426,1669,3321,2566,0.04375944384291876,-0.14661913883939387,0.0408969858378443,-0.2627155987279704,0.5540934639173398,-0.34755086203661506
8,HoReCa,Other,5963,3648,6192,425,1716,750,-0.09675019886902207,-0.20506029089817543,-0.22048402954290264,-0.3051577883697476,-0.15578901423447727,-0.6896927304727346
9,Retail,Other,6006,11093,18881,1159,7425,2098,0.49366857218997856,-0.15555600801111785,0.7089688368462724,-0.2911925018216325,1.1648509491774437,0.023746724906467166
10,Retail,Other,3366,5403,12974,4400,5977,1744,0.2106778090188271,-0.16964359555283165,0.31974064092419574,-0.3065245780476245,0.86490209329267,-0.19286306252342636
11,Retail,Other,13146,1124,4523,1420,549,497,-0.22150693569650962,-0.04301981096108621,-0.35545182556925053,0.013874803248531666,-0.6524416952788552,-0.10638673171860977
12,Retail,Other,31714,12319,11757,287,3881,2931,0.2047987318660786,0.2930467306242142,0.38544654450739446,0.33572883668073583,0.5189256754099244,0.8891844129165526
13,Retail,Other,21217,6208,14982,3095,6707,602,0.22492371282292775,0.08412699715331325,0.38950060072832154,0.05937381327534829,0.7459587900333253,0.6652437528164209
14,Retail,Other,24653,9465,12091,294,5058,2168,0.19615395161835378,0.13023054987066882,0.3555111665729349,0.1442177849516532,0.6716997036238878,0.7605400813714223
15,HoReCa,Other,10253,1114,3821,397,964,412,-0.20604613498047022,-0.11610486588018877,-0.3543552000608612,-0.11021859390248892,-0.5245171920456188,-0.34778855844424866
16,Retail,Other,1020,8816,12121,134,4508,1080,0.2274828041034752,-0.28469273656532,0.3226356449874316,-0.47221899771116554,0.8519358136546634,-0.546035266732378
